,AAPL,AAPL,AAPL,AAPL,AAPL
,open,high,low,close,volume
time,,,,,
2020-12-08 00:00:00-05:00,124.37,124.98,123.09,124.33,69695298
2020-12-09 00:00:00-05:00,124.53,125.95,121.0,121.67,99218318
2020-12-10 00:00:00-05:00,120.5,123.87,120.15,123.22,70011939
2020-12-11 00:00:00-05:00,122.43,122.76,120.55,122.49,75289233
2020-12-14 00:00:00-05:00,122.6,123.35,121.55,121.77,65119346
2020-12-15 00:00:00-05:00,124.34,127.9,124.13,127.89,140585059
2020-12-16 00:00:00-05:00,127.41,128.37,126.56,127.75,84637825
2020-12-17 00:00:00-05:00,128.9,129.58,128.045,128.65,76704353
2020-12-18 00:00:00-05:00,128.96,129.1,126.12,126.65,109773113
2020-12-21 00:00:00-05:00,125.02,128.31,123.449,128.24,99115677
2020-12-22 00:00:00-05:00,131.61,134.405,129.65,131.845,156846263
2020-12-23 00:00:00-05:00,132.16,132.43,130.78,130.96,76023894
2020-12-24 00:00:00-05:00,131.32,133.46,131.1,131.99,51675667
2020-12-28 00:00:00-05:00,133.99,137.34,133.51,136.73,116008068
2020-12-29 00:00:00-05:00,138.05,138.789,134.3409,134.93,114407189
2020-12-30 00:00:00-05:00,135.58,135.99,133.4,133.72,87788124
